Call Sign,Origin,Destination,EOBT,TOBT,CTOT,Stand Assignment
BVI4MF,ZZZZ,EKCH,,20:10,NIL,E71
AAL996,ZZZZ,EKCH,,20:10,NIL,C33
BAW323,ZZZZ,EKCH,,20:00,NIL,C33
SAS402,ZZZZ,EKCH,,21:30,NIL,B10
SAS747,ZZZZ,EKCH,,21:35,NIL,E36
NSZ3521,ZZZZ,EKCH,,21:40,NIL,C32
CCA877,ZZZZ,EKCH,,22:15,NIL,C35
SAS926,ZZZZ,EKCH,,22:30,NIL,E27
DAT252,ZZZZ,EKCH,,22:55,NIL,A12
UAE24,ZZZZ,EKCH,,23:55,NIL,C37
